province_name,district_name,metric_key,metric_value,unit,data_year,source_org,source_name,source_url,verified_at
İstanbul,,school_count,7909,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
İstanbul,,student_count,3150326,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Tekirdağ,,school_count,742,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Tekirdağ,,student_count,230976,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Edirne,,school_count,331,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Edirne,,student_count,57805,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kırklareli,,school_count,280,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kırklareli,,student_count,55273,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Balıkesir,,school_count,1038,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Balıkesir,,student_count,199632,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Çanakkale,,school_count,460,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
